Product ID (#) *1,Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
1,Кострец,2334,727,Мясо,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",2018-02-11,2020-09-01,1.56,Awaiting Payment
2,Топинамбур,9529,31,Овощи,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,1991-03-04,2024-01-13,2.6,Temporarily Unavailable
3,Пармезан,5887,535,Молочные продукты,Помогает сохранять бодрость и активность в течение дня.,2018-02-07,2025-02-01,4.78,In Stock
4,Авокадо,7766,129,Фрукты,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2016-05-09,2016-09-13,2.27,Cancelled
5,Пищевая пленка,264,378,Товары для дома,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",2014-01-01,2016-01-04,4.18,Temporarily Unavailable
6,Фейхоа,9607,946,Фрукты,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",1992-06-23,2002-03-17,0.01,Awaiting Payment
7,Патиссон,8946,478,Овощи,Помогает поддерживать нормальный уровень триглицеридов в крови.,2021-02-01,2027-02-03,1.33,Pending
8,Паштет,1994,839,Мясо,Подходит для использования в диетических программах для похудения.,1993-12-02,2011-05-06,1.9,Shipping
9,Абрикос,3986,429,Фрукты,"Подходит для приготовления как горячих, так и холодных блюд.",2008-01-16,2016-04-01,1.04,Backorder
10,Фейхоа,7639,770,Фрукты,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2004-07-07,2011-03-06,0.67,Returned
11,Куриные голени,1153,503,Мясо,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,1999-02-05,2014-02-09,2.45,Shipping
12,Конфи,1696,300,Мясо,Является важным компонентом рациона для поддержания гормонального баланса.,1990-07-09,1994-02-06,4.93,Delivered
13,Скалки,176,899,Товары для дома,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",2021-04-19,2029-02-07,0.74,Available for Pickup
14,Фенхель,916,864,Овощи,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",2022-02-07,2023-04-12,3.76,Returned
15,Пакеты для Дня независимости,8742,10,Товары для дома,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2008-06-01,2022-03-02,5.0,Out of Stock
16,Полба,6509,408,Бакалея,"Отличается длительным сроком годности, что позволяет делать запасы.",2006-02-11,2020-03-01,4.87,Sold
17,Пакеты для заморозки,4949,126,Товары для дома,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",2017-03-03,2019-08-25,0.71,New
18,Инжир,5871,765,Фрукты,Помогает поддерживать нормальный уровень сахара в крови.,2001-05-10,2028-07-12,0.06,Available for Pickup
19,Мацеста,7601,410,Напитки,Отличается легкостью в переваривании и усвоении организмом.,2008-01-02,2019-01-11,3.57,Cancelled
20,Гречка,9060,148,Бакалея,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",2013-01-03,2015-03-02,0.73,Refunded
21,Мортаделла,5936,147,Мясо,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",1999-01-17,2000-07-04,3.54,Out of Stock
22,Белый перец молотый,3896,837,Бакалея,Представляет собой ценный источник питательных веществ для растущего организма.,2022-04-13,2026-01-06,1.41,Available for Pickup
23,Сыр,7269,168,Молочные продукты,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",2015-01-01,2027-10-01,1.85,New
24,Пакеты для Пасхи,7803,45,Товары для дома,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2013-02-11,2028-01-08,4.2,In Stock
25,Пакеты для корпоратива,5083,809,Товары для дома,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",1998-01-03,2023-08-06,4.33,Awaiting Payment
26,Роллы с мясом,2051,611,Мясо,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2014-04-17,2028-03-06,0.45,On Backorder
27,Груша,2704,450,Фрукты,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2015-07-14,2029-02-16,0.51,Shipping
28,Чабрец сушеный,7149,950,Бакалея,Помогает поддерживать нормальный уровень pH в организме.,1992-01-03,2014-07-09,0.14,Pending
29,Monster Energy,2671,509,Напитки,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,1995-01-07,2019-02-02,0.44,Shipping
30,Пакеты для бассейна,4529,202,Товары для дома,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",2008-06-03,2029-07-11,3.95,Pending
31,Шубат,5572,290,Молочные продукты,Помогает поддерживать нормальный уровень холестерина в крови.,2011-08-08,2027-05-04,3.16,Pending
32,Ряженка,8802,887,Молочные продукты,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",1995-09-20,2003-05-08,1.0,Backorder
33,Дыня,6088,688,Фрукты,Рекомендуется для ежедневного потребления в умеренных количествах.,2015-01-01,2017-03-07,2.72,Backorder
34,Эмменталь,2776,311,Молочные продукты,"Обладает мягким вкусом, который нравится многим потребителям.",1990-01-01,1995-08-11,1.15,New
35,Скалки,7718,277,Товары для дома,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",2013-05-01,2029-01-02,3.86,Returned
36,Сметана,495,154,Молочные продукты,"Помогает улучшить состояние волос, ногтей и кожи.",1990-03-06,1996-06-02,4.4,Sold
37,Ананас,2374,711,Фрукты,Помогает поддерживать нормальный обмен веществ и метаболизм.,2009-02-03,2019-03-12,0.33,Shipping
38,Орловская,5122,614,Напитки,Помогает поддерживать нормальный уровень сахара в крови.,2017-03-12,2028-02-01,1.61,Out of Stock
39,Белокуриха,248,783,Напитки,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2011-11-05,2024-03-01,2.08,Out of Stock
40,Домашние колбасы,1687,271,Мясо,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2009-06-14,2022-09-05,5.01,Awaiting Payment
41,Конфи,8066,846,Мясо,Способствует снижению уровня стресса и улучшению настроения.,2001-03-13,2023-01-13,2.31,Awaiting Review
42,Конфи,6538,67,Мясо,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",2007-08-17,2015-01-11,2.63,Delivered
43,Баклажан,5078,45,Овощи,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",1999-05-03,2028-01-03,2.55,Out of Stock
44,Абрикос,3292,800,Фрукты,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",2016-02-04,2025-03-02,0.69,Sold
45,Пакеты для концерта,6720,87,Товары для дома,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2013-03-04,2021-06-04,1.14,Awaiting Payment
46,Пшено,3701,925,Бакалея,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",1996-01-05,2025-01-05,3.11,Pending
47,Консервы мясные,2095,312,Мясо,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2015-03-09,2028-05-11,4.02,Pending
48,Ребрышки,344,203,Мясо,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2002-02-26,2013-05-18,1.57,Available for Pickup
49,Лимон,2734,324,Фрукты,Отличается высокими показателями усвояемости организмом.,2002-02-02,2024-01-12,0.57,Shipping
50,Озеро Медвежье,8286,633,Напитки,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",2002-03-05,2005-02-05,3.28,Shipping
51,Тыква,5430,889,Овощи,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2003-02-05,2013-03-06,3.26,Cancelled
52,Лардон,8925,309,Мясо,Является важным компонентом сбалансированного рациона питания.,2007-01-03,2011-03-20,4.48,Backorder
53,Эмменталь,9972,359,Молочные продукты,Прошел строгий контроль качества на всех этапах производства.,2001-03-12,2022-01-05,0.15,Available for Pickup
54,Манго,5061,299,Фрукты,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2016-01-03,2029-11-01,0.37,Temporarily Unavailable
55,Робот-пылесос,7507,837,Товары для дома,"Отличается высоким содержанием селена, важного для антиоксидантной защиты организма.",2013-05-16,2023-02-10,3.09,Returned
56,Просо,9844,739,Бакалея,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2022-01-03,2027-04-07,2.67,Backorder
57,Батат,805,599,Овощи,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2009-01-01,2028-01-07,1.7,Returned
58,Йогурт,5338,448,Молочные продукты,Прошел все необходимые сертификации и соответствует международным стандартам.,1999-01-12,2000-02-09,3.85,Refunded
59,Манго,917,253,Фрукты,Помогает поддерживать нормальный уровень электролитов в организме.,2021-01-10,2029-02-05,1.71,In Stock
60,Байкал,9588,481,Напитки,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",2016-01-05,2030-04-16,0.49,In Stock
61,Чоризо,9485,580,Мясо,Является неотъемлемой частью рациона многих народов мира.,1994-01-15,2001-01-19,1.85,Awaiting Review
62,Гауда,773,505,Молочные продукты,Помогает поддерживать нормальный уровень энергии и выносливости.,1993-02-07,1995-06-02,1.69,Sold
63,Нектарин,5854,171,Фрукты,Подходит для использования в качестве основы для смузи и коктейлей.,1993-01-11,1997-08-04,4.81,Awaiting Review
64,Каша из дробленной ржаной крупы,7328,29,Бакалея,Отличается высокими показателями усвояемости организмом.,2017-03-05,2027-03-06,0.22,Available for Pickup
65,Ямс,3083,896,Овощи,Отличается низкой калорийностью и высоким содержанием белка.,1999-03-19,2014-02-06,2.65,Sold
66,Клюква,8530,176,Фрукты,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",1993-11-01,1998-02-04,0.53,Shipping
67,Айран,2141,572,Молочные продукты,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",1993-04-09,2001-01-05,3.59,Awaiting Review
68,Спаржа,3839,10,Овощи,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,1995-02-01,1995-06-06,4.86,In Stock
69,Тюменская,8949,219,Напитки,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2000-03-09,2025-05-03,4.62,Refunded
70,Тартар,2051,221,Мясо,Может использоваться в косметических процедурах для увлажнения кожи.,2009-06-02,2017-02-05,0.54,Pending
71,Бамия,6947,425,Овощи,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2016-01-05,2022-07-05,0.07,Delivered
72,Пакеты для походов,7069,362,Товары для дома,Рекомендуется для ежедневного потребления в умеренных количествах.,2000-01-01,2022-02-02,3.39,In Stock
73,Симферопольская,9388,542,Напитки,"Помогает улучшить состояние волос, ногтей и кожи.",2008-02-05,2030-06-19,3.36,Delivered
74,Пакеты для документов,5687,43,Товары для дома,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2006-02-14,2010-01-09,3.19,Temporarily Unavailable
75,Кукуруза консервированная,2956,474,Бакалея,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2016-02-12,2026-08-01,4.73,Shipping
76,Пакеты для семинара,4736,913,Товары для дома,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",1997-04-10,2012-01-06,4.25,Awaiting Review
77,Чеснок,436,345,Овощи,"Отличается высоким содержанием витамина K, необходимого для свертывания крови и здоровья костей.",2001-06-04,2024-02-14,0.72,Available for Pickup
78,Малина,8982,128,Фрукты,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2022-01-06,2029-06-13,4.06,Awaiting Payment
79,Дыня,8413,216,Фрукты,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",2001-06-13,2003-09-01,3.16,Cancelled
80,Магаданская,332,880,Напитки,Помогает поддерживать нормальный уровень холестерина в крови.,1999-02-12,2022-03-05,3.12,Returned
81,Каша из камута,2787,950,Бакалея,Помогает поддерживать нормальный уровень гемоглобина в крови.,2006-03-07,2026-01-03,3.37,In Stock
82,Уксус,5236,333,Бакалея,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",2007-01-07,2013-10-01,2.2,Returned
83,Сухое мясо,943,725,Мясо,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2016-02-18,2025-01-25,2.08,Available for Pickup
84,Пунш фруктовый,204,270,Напитки,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2006-01-18,2021-05-03,0.34,Sold
85,Рамбутан,2671,933,Фрукты,Помогает укрепить иммунную систему и защитить организм от инфекций.,2008-03-01,2028-07-02,2.06,Backorder
86,Хинкали,2722,371,Мясо,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",2004-05-09,2023-04-21,0.44,Awaiting Review
87,Инжир,5797,912,Фрукты,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,1997-06-02,2011-03-11,1.6,Pending
88,Гранат,8358,588,Фрукты,Может использоваться в косметических процедурах для увлажнения кожи.,2005-03-02,2012-04-01,5.01,Temporarily Unavailable
89,Бритвенный станок,7518,649,Товары для дома,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",2015-03-17,2016-01-02,4.37,Awaiting Review
90,Чабрец сушеный,5619,476,Бакалея,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2004-02-15,2005-04-02,1.65,Backorder
91,Шелковица,6159,525,Фрукты,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2008-01-16,2017-07-21,4.76,In Stock
92,Кунжут черный,8707,562,Бакалея,Может использоваться в косметических процедурах для увлажнения кожи.,2009-01-22,2018-01-18,1.38,Awaiting Review
93,Варенье,1024,842,Бакалея,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",1995-04-01,1995-04-03,1.73,Returned
94,Чебуреки,1667,209,Мясо,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2005-05-01,2010-01-05,1.17,Out of Stock
95,Сушеные грибы,3930,772,Бакалея,Помогает поддерживать нормальный уровень гемоглобина в крови.,2020-08-01,2028-10-05,0.47,Cancelled
96,Турнепс,5932,272,Овощи,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",2001-05-05,2006-04-08,0.87,Delivered
97,Масло сливочное,4484,223,Молочные продукты,Подходит для использования в качестве основы для смузи и коктейлей.,2011-01-03,2019-07-01,1.06,Temporarily Unavailable
98,Отбеливатель,298,678,Товары для дома,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2019-01-25,2023-01-05,3.65,In Stock
99,Эмменталь,1910,119,Молочные продукты,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,2012-02-14,2026-02-07,3.86,Awaiting Payment
100,Помело,9302,158,Фрукты,"Помогает улучшить состояние волос, ногтей и кожи.",2003-01-02,2004-01-05,4.87,Cancelled
101,Брокколи,8059,725,Овощи,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1998-06-01,2023-09-11,1.77,Backorder
102,Окорок,4612,145,Мясо,Помогает поддерживать оптимальный вес и форму тела.,2013-06-10,2022-03-05,1.03,In Stock
103,Персик,1489,321,Фрукты,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",1990-07-04,1995-02-04,3.84,Available for Pickup
104,Ласси,5915,411,Молочные продукты,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2021-02-03,2026-06-18,2.06,Shipping
105,Персик,347,76,Фрукты,Широко используется в традиционной и современной кухне.,2001-02-01,2026-05-01,4.1,Pending
106,Пармезан,6498,407,Молочные продукты,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",2015-03-03,2017-02-24,4.13,Cancelled
107,Пакеты для растений,4209,81,Товары для дома,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2014-03-10,2018-02-05,3.37,Backorder
108,Слива,6503,72,Фрукты,Отличается хорошей совместимостью с другими продуктами питания.,2003-04-12,2025-01-12,1.08,New
109,Буженина,9499,802,Мясо,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",1994-03-22,2027-01-02,1.87,Cancelled
110,Шубат,2433,133,Молочные продукты,Помогает поддерживать нормальный уровень эстрогенов у женщин.,2008-11-02,2023-01-01,0.65,Cancelled
111,Белый шоколад,3654,235,Бакалея,"Подходит для использования в диетах, направленных на снижение веса.",2007-07-08,2020-01-08,0.97,Backorder
112,Огурец,2805,301,Овощи,Отличается универсальностью применения в кулинарии и пищевой промышленности.,1992-02-06,2018-02-12,3.73,Refunded
113,Гамбургеры,8670,35,Мясо,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",1996-06-06,1999-01-20,2.12,Temporarily Unavailable
114,Адыгейский сыр,4218,532,Молочные продукты,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2013-03-22,2028-03-20,2.39,Awaiting Payment
115,Пастернак,8866,157,Овощи,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,1991-01-01,2008-08-08,2.38,Sold
116,Вилки,3843,694,Товары для дома,Широко используется в традиционной и современной кухне.,2022-01-16,2023-04-08,2.48,Awaiting Payment
117,Сухое молоко,6454,115,Бакалея,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",1992-03-08,2006-01-01,1.72,Shipping
118,Манго,2190,115,Фрукты,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",1999-01-02,2025-03-05,2.83,Sold
119,Бритвенный станок,9618,255,Товары для дома,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",2000-02-26,2013-02-01,2.02,Backorder
120,Рулька,9418,867,Мясо,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",2003-07-23,2026-05-01,4.32,In Stock
121,Айран,8823,461,Молочные продукты,Помогает нормализовать артериальное давление и уровень холестерина.,1996-04-08,2017-09-03,4.58,Refunded
122,Кардамон молотый,5991,146,Бакалея,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",2016-04-01,2026-06-01,3.43,Out of Stock
123,Моющее средство для стекол,3240,804,Товары для дома,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2019-01-18,2019-05-15,1.2,Temporarily Unavailable
