product_id,name,price,quantity,category,production_date,expiration_date,rating,status
1,Патиссон,2756,843,Овощи,2000-04-17,2000-05-09,4.57,In Stock
2,Подсолнечник семена,671,357,Бакалея,2004-05-14,2010-01-01,0.34,Delivered
3,Огурец,9151,393,Овощи,1995-01-14,2023-02-01,2.97,In Stock
4,Дезодорант,1617,170,Товары для дома,2011-03-07,2013-06-02,3.46,Backorder
5,Пажитник сушеный,9826,866,Бакалея,2004-02-22,2015-01-02,2.68,Backorder
6,Разрыхлитель теста,2471,970,Бакалея,2008-04-01,2026-01-01,4.22,In Stock
8,Пахта,5651,252,Молочные продукты,2003-05-06,2013-09-18,1.94,Cancelled
9,Пармезан,3237,654,Молочные продукты,2002-02-09,2017-01-26,3.46,Cancelled
10,Помидор,8317,836,Овощи,2009-07-03,2028-06-06,2.12,Pending
11,Пакеты для игрушек,4929,256,Товары для дома,2002-01-04,2009-08-02,4.29,Awaiting Review
12,Клюква,4716,814,Фрукты,2015-03-01,2028-01-01,4.0,Shipping
13,Контейнеры для хранения продуктов,6281,499,Товары для дома,2014-01-06,2024-04-02,3.72,Shipping
14,Папайя,8476,1000,Фрукты,2009-02-13,2013-01-08,2.17,Cancelled
16,Помело,2876,315,Фрукты,1998-03-03,2003-04-01,4.45,Backorder
17,Манго,4414,407,Фрукты,1995-01-09,2015-06-15,0.69,Shipping
18,Майонез,5800,943,Бакалея,2014-01-03,2026-10-02,1.79,Awaiting Review
19,Пакеты для Дня космонавтики,5719,808,Товары для дома,2008-10-13,2028-02-01,2.69,Delivered
20,Тыква,5914,970,Овощи,2009-06-01,2020-01-01,0.91,Returned
21,Смородина,6150,525,Фрукты,2016-01-05,2029-01-19,4.83,Backorder
22,Лук-порей,5482,165,Овощи,1996-01-10,2007-05-05,4.46,Cancelled
23,Пищевая пленка,6719,58,Товары для дома,2000-02-07,2010-05-03,4.22,Awaiting Payment
24,Салями,925,147,Мясо,1992-05-02,2008-02-04,2.62,Available for Pickup
25,Корица молотая,1588,760,Бакалея,1990-05-05,2005-06-15,0.71,Sold
26,Помело,3297,292,Фрукты,2014-01-18,2028-01-22,3.05,Backorder
27,Пакеты для Дня матери,4809,636,Товары для дома,2012-04-20,2026-09-11,4.24,Shipping
28,Дыня,7500,492,Фрукты,2018-01-12,2021-05-09,2.82,Refunded
29,Портулак,8937,893,Овощи,2002-04-01,2011-02-11,0.64,Out of Stock
30,Бурятская,147,326,Напитки,2005-08-16,2025-04-11,2.53,In Stock
31,Йогурт,3956,774,Молочные продукты,2012-01-08,2020-01-02,4.24,In Stock
32,Телятина,6022,494,Мясо,2012-09-01,2016-09-02,2.54,Refunded
33,Пакеты для музея,651,504,Товары для дома,2013-04-02,2028-04-04,3.66,Shipping
34,Coca-Cola Zero,4577,873,Напитки,2001-01-20,2018-08-13,4.14,Pending
35,Эмменталь,6462,820,Молочные продукты,2015-11-07,2017-06-04,4.46,Sold
36,Молочный коктейль,3141,818,Напитки,1997-05-02,2010-08-11,2.46,Sold
37,Слива,673,214,Фрукты,2022-01-23,2028-03-08,1.25,Available for Pickup
38,Виноград,9825,69,Фрукты,1993-02-02,1999-06-06,2.83,Cancelled
40,Сбитень медовый,4825,305,Напитки,2019-06-04,2022-02-04,3.64,Sold
41,Каймак,6379,194,Молочные продукты,1994-01-18,2003-01-06,2.54,Shipping
42,Клинская,7192,745,Напитки,2004-05-01,2010-01-01,2.7,Awaiting Review
43,Каша из дробленной кускусовой крупы,6121,240,Бакалея,2008-12-06,2020-02-08,2.78,Delivered
44,Гусиные потроха,9171,247,Мясо,2001-02-09,2002-01-08,0.85,Delivered
45,Миринда,2279,253,Напитки,2013-09-03,2018-01-12,1.67,Shipping
46,Ножи столовые,448,74,Товары для дома,1990-04-05,2006-05-07,2.91,In Stock
47,Пицца с мясом,482,550,Мясо,1997-01-22,2013-01-04,0.55,Awaiting Review
48,Ванилин,949,256,Бакалея,2003-02-04,2009-01-08,2.83,Refunded
49,Манго,8226,125,Фрукты,2000-02-03,2005-08-11,4.36,Pending
50,Кашинская,7621,525,Напитки,2012-01-06,2017-09-02,3.47,Available for Pickup
51,Картофель,1374,938,Овощи,2012-02-12,2024-03-04,2.67,Available for Pickup
52,Лардон,9197,580,Мясо,1992-04-20,2004-08-02,1.68,New
53,Великолукская,8687,632,Напитки,2021-01-10,2028-02-02,4.56,In Stock
54,Манго,3548,298,Фрукты,1995-06-07,2027-06-17,0.49,Shipping
55,Кубай,4052,953,Напитки,2007-02-07,2018-07-07,1.67,Refunded
57,Йогурт,9276,162,Молочные продукты,2017-03-16,2025-01-03,2.48,Sold
58,Энергетический напиток,391,489,Напитки,2003-07-04,2016-05-09,0.71,Available for Pickup
59,Чеддер,3231,582,Молочные продукты,2016-03-06,2029-02-18,0.45,Out of Stock
60,Ройбос,2986,197,Напитки,2000-01-03,2010-01-05,0.07,Refunded
61,Картофель,6784,97,Овощи,2018-04-08,2019-03-02,0.03,Out of Stock
62,Половники,881,864,Товары для дома,1991-02-02,2014-01-25,0.31,Available for Pickup
63,Пакеты пластиковые,3087,82,Товары для дома,2013-02-06,2026-01-01,1.0,Cancelled
66,Сухое мясо,310,942,Мясо,1994-01-12,2018-03-10,3.2,Sold
67,Курт,6420,55,Молочные продукты,2010-07-17,2018-08-09,4.04,Awaiting Review
68,Пакеты для дня рождения,4777,411,Товары для дома,1999-04-07,2015-04-01,4.85,Returned
69,Редис,7033,996,Овощи,2003-03-03,2015-05-05,3.85,Shipping
70,Bonaqua,7162,305,Напитки,2015-03-10,2019-04-10,4.27,Awaiting Review
71,Шадринская,4301,466,Напитки,2013-05-07,2019-01-26,1.03,In Stock
72,Варенец,2167,660,Молочные продукты,1993-05-02,1999-02-08,1.37,Pending
73,Тэфф,9872,214,Бакалея,1993-02-12,2016-07-01,0.26,New
74,Алтайская россыпь,5238,358,Напитки,2005-01-06,2028-01-23,2.09,Awaiting Review
75,Брюква,4406,420,Овощи,2011-06-17,2019-03-10,3.46,Refunded
76,Кровяная колбаса,1810,389,Мясо,1997-07-04,2014-07-04,0.86,Available for Pickup
77,Бифштекс,8714,738,Мясо,1992-04-03,2025-08-06,1.18,Available for Pickup
78,Балык,1689,686,Мясо,2011-02-09,2018-01-04,0.86,Pending
79,Архыз,4066,300,Напитки,2022-02-06,2023-03-02,2.81,New
80,Айва,9673,509,Фрукты,2011-03-16,2016-04-09,2.16,Sold
81,Свекла,9527,642,Овощи,2003-08-06,2030-04-18,4.95,Available for Pickup
82,Фанта,1016,152,Напитки,2007-08-03,2008-06-04,3.12,New
83,Виноград,9706,245,Фрукты,2010-07-14,2030-02-14,3.15,Awaiting Review
84,Зельц,4018,883,Мясо,2000-03-07,2005-01-04,1.86,Awaiting Payment
85,Картофель,6128,421,Овощи,1994-03-02,2021-02-14,0.82,Refunded
86,Масло сливочное,4039,576,Молочные продукты,1998-02-27,2027-01-01,4.89,Refunded
87,Блюдца,8924,354,Товары для дома,2005-04-02,2017-01-01,3.74,Awaiting Review
88,Утка,1801,96,Мясо,2022-01-18,2023-03-04,3.77,Refunded
89,Каймак,8043,928,Молочные продукты,2013-07-07,2015-02-02,1.41,In Stock
90,Российский сыр,584,115,Молочные продукты,2021-01-07,2024-01-04,1.94,Shipping
91,Курт,8447,542,Молочные продукты,2011-01-16,2013-04-03,4.85,Out of Stock
92,Кондиционер для белья,4666,959,Товары для дома,2001-01-03,2007-02-04,0.04,In Stock
93,Томаты в собственном соку,9130,852,Бакалея,2017-02-11,2018-11-04,4.07,Shipping
94,Ройбос,5541,336,Напитки,2019-03-02,2027-03-12,2.18,Sold
95,Пельмени,5899,478,Мясо,2013-05-05,2020-06-01,3.47,In Stock
97,Смузи бананово-клубничный,5917,655,Напитки,2000-03-01,2018-06-18,1.27,Shipping
98,Сыр,1441,677,Молочные продукты,2004-05-24,2030-03-03,3.76,Out of Stock
99,Перец болгарский,9243,876,Овощи,2008-06-04,2011-06-02,1.8,Pending
100,Фанта,585,274,Напитки,1993-07-07,2025-02-01,3.24,Awaiting Payment
101,Панчетта,5573,830,Мясо,2010-05-28,2024-01-10,1.34,Backorder
102,Сухое мясо,4274,535,Мясо,2019-02-26,2030-01-09,0.27,Cancelled
103,Редис,9755,280,Овощи,2021-10-14,2029-01-09,2.65,New
104,Грейпфрут,1025,835,Фрукты,2010-06-20,2013-06-06,3.52,Awaiting Payment
105,Огурец,5060,945,Овощи,2007-10-05,2022-04-06,2.84,Pending
106,Засоленное мясо,7441,989,Мясо,2020-04-02,2027-02-04,1.37,Available for Pickup
107,Эндивий,6510,617,Овощи,2015-01-25,2015-07-10,4.04,Out of Stock
108,Пакеты для Дня учителя,9983,650,Товары для дома,2007-01-03,2021-01-01,2.3,Awaiting Review
109,Авокадо,5919,1000,Фрукты,1997-05-16,2024-02-05,3.93,In Stock
111,Пакеты для дня рождения,2292,567,Товары для дома,2014-03-06,2028-02-01,4.14,Sold
112,Кефир,649,460,Молочные продукты,1993-01-10,2005-06-02,3.17,Cancelled
114,Роллы с мясом,7650,162,Мясо,2004-03-06,2007-01-23,1.47,Sold
115,Брынза,3698,20,Молочные продукты,2016-01-02,2022-03-08,4.94,On Backorder
116,Яблоко,6249,475,Фрукты,2003-03-09,2012-01-15,3.17,Awaiting Review
118,Чеснок,9948,80,Овощи,2014-01-21,2019-01-04,0.44,Backorder
119,Отбеливатель,9988,713,Товары для дома,2020-02-04,2028-02-05,3.4,Out of Stock
121,Пакеты для инструментов,8488,670,Товары для дома,2006-01-02,2015-02-19,3.27,Pending
122,Персик,9540,603,Фрукты,1994-06-04,2013-03-06,3.47,Pending
123,Фенхель,1382,465,Овощи,1999-05-02,2011-02-16,2.59,In Stock
124,Пирожки с мясом,663,751,Мясо,2012-05-04,2026-02-05,3.05,Cancelled
125,Тефтели,8076,496,Мясо,2011-02-03,2025-03-08,2.43,Out of Stock
126,Пакеты для кемпинга,7977,507,Товары для дома,2003-02-18,2005-01-05,2.82,Backorder
127,"Семечки (тыквенные, подсолнечника)",1499,820,Бакалея,2002-05-01,2025-01-14,3.36,Awaiting Review
129,Молоко,7341,975,Молочные продукты,2016-01-04,2021-01-07,4.21,New
130,Бамия,7326,773,Овощи,2021-04-03,2029-02-13,1.72,In Stock
131,Бамия,8183,683,Овощи,2003-01-08,2015-02-23,2.35,Returned
132,Катык,3715,454,Молочные продукты,2019-08-15,2027-01-12,3.15,Shipping
133,Хурма,7839,730,Фрукты,2014-03-18,2020-01-01,2.07,Returned
134,Пакеты для кемпинга,992,167,Товары для дома,2008-01-03,2018-02-06,4.67,Sold
135,Горячий шоколад,8508,928,Напитки,1997-02-03,2011-05-22,1.28,Out of Stock
136,Наборы столовых приборов,2425,557,Товары для дома,2000-02-01,2017-02-08,1.89,Returned
137,"Сухофрукты (изюм, курага, чернослив)",4133,613,Бакалея,2006-05-12,2015-11-06,3.47,Sold
138,Бамия,7108,94,Овощи,1996-05-04,1998-06-06,3.67,On Backorder
139,Картофель,8272,425,Овощи,2011-08-06,2030-01-09,1.11,On Backorder
140,Абрикос,1860,432,Фрукты,2017-01-01,2029-06-17,3.92,Out of Stock
142,Донер-кебаб,8516,10,Мясо,2004-01-18,2029-01-12,2.59,Backorder
143,Масала чай,1821,417,Напитки,2019-10-02,2026-05-07,1.22,Awaiting Review
144,Маринад для мяса,8594,392,Бакалея,2000-06-03,2015-04-06,2.33,In Stock
145,Макароны,6905,664,Бакалея,1992-03-28,2011-01-06,1.6,Awaiting Payment
146,Топлёное молоко,1201,929,Молочные продукты,2022-05-15,2025-06-12,2.32,On Backorder
148,Киноа,4034,104,Бакалея,1996-01-04,2015-01-10,0.36,Out of Stock
150,Консервы мясные,2065,569,Мясо,2000-02-01,2013-05-14,0.23,Shipping
151,Огурец,7706,776,Овощи,2013-04-03,2023-02-07,3.19,Shipping
152,Паприка острая молотая,9287,577,Бакалея,1994-03-07,2008-01-11,1.71,Cancelled
153,Брюква,5233,611,Овощи,2000-01-07,2008-05-02,1.22,Pending
154,Верблюжье молоко,8477,448,Молочные продукты,2018-01-26,2020-01-03,4.75,On Backorder
155,Кунжут белый,7089,644,Бакалея,2022-01-03,2030-01-12,0.73,On Backorder
156,Клюква,7241,92,Фрукты,1996-08-26,2014-01-10,4.67,Pending
157,Пастернак,5837,615,Овощи,1993-05-22,1993-09-01,3.51,Available for Pickup
158,Чечевица,6248,117,Овощи,2004-02-06,2013-03-23,1.61,Sold
159,Каша из дробленой кукурузы,9764,680,Бакалея,1992-03-08,2022-07-01,1.83,Shipping
160,Брынза,9189,838,Молочные продукты,1992-01-04,1993-03-16,2.03,Pending
161,Пакет для заморозки,8040,139,Товары для дома,1995-01-10,2030-03-02,1.9,Available for Pickup
162,Пакеты для библиотеки,1714,398,Товары для дома,2021-03-03,2025-03-03,1.04,Pending
163,Брынза,7640,664,Молочные продукты,2019-04-04,2019-09-01,0.07,Delivered
164,Куриные субпродукты,1034,281,Мясо,2008-04-01,2013-02-09,3.54,Cancelled
165,Крымская,1083,508,Напитки,1994-06-02,2025-03-02,2.05,Available for Pickup
166,Вяленое мясо,5334,268,Мясо,2008-01-02,2016-04-05,4.43,Awaiting Review
168,Куриные грудки,1381,746,Мясо,2009-05-08,2020-06-07,0.1,Refunded
169,Наволочки,5973,897,Товары для дома,1991-12-04,2010-06-11,4.14,New
170,Верблюжье молоко,6255,825,Молочные продукты,1999-02-28,2026-06-05,1.41,On Backorder
171,Клубника,5104,449,Фрукты,2016-01-05,2030-09-04,1.67,Refunded
172,Баклажан,7269,676,Овощи,1999-01-17,2019-04-04,3.64,In Stock
173,Пятновыводитель,6527,857,Товары для дома,2008-03-01,2014-09-03,2.75,Sold
175,Вареники с мясом,1188,855,Мясо,2014-01-18,2024-07-09,5.01,Backorder
176,Турнепс,6971,294,Овощи,1999-02-01,2016-06-16,0.85,Awaiting Review
177,Фарш свиной,3569,992,Мясо,2002-11-26,2020-01-06,3.87,Backorder
178,Банан,3161,711,Фрукты,2000-02-07,2003-02-06,3.34,Awaiting Review
179,Хабаровская,9960,140,Напитки,2007-03-01,2027-05-22,2.42,Delivered
180,Алтайская россыпь,4737,770,Напитки,2011-02-01,2025-02-26,3.36,In Stock
181,Самса,3085,187,Мясо,2016-02-24,2017-01-13,0.55,Available for Pickup
182,Фейхоа,4859,248,Фрукты,2003-03-11,2009-02-11,3.4,In Stock
183,Чебуреки,6426,19,Мясо,1995-09-05,2001-05-04,4.2,New
184,Горох,5231,192,Овощи,1993-02-10,2001-01-03,4.69,On Backorder
