author_id,author_name,birth_date,age
1,Leo Tolstoy,1828-09-09,193
2,Fyodor Dostoevsky,1821-11-11,200
3,Anton Chekhov,1860-01-29,161
4,Jane Austen,1775-12-16,245
5,Mark Twain,1835-11-30,186
6,Charles Dickens,1812-02-07,209
7,George Orwell,1903-06-25,118
8,Virginia Woolf,1882-01-25,139
9,Franz Kafka,1883-07-03,138
10,Oscar Wilde,1854-10-16,167
11,Ernest Hemingway,1899-07-21,122
12,William Shakespeare,1564-04-23,457
13,John Steinbeck,1902-02-27,119
14,F. Scott Fitzgerald,1896-09-24,125
15,Herman Melville,1819-08-01,202
16,Emily Dickinson,1830-12-10,190
17,Agatha Christie,1890-09-15,131
18,Edgar Allan Poe,1809-01-19,212
19,Tennessee Williams,1911-03-26,110
20,William Faulkner,1897-09-25,124
21,J.K. Rowling,1965-07-31,56
22,J.R.R. Tolkien,1892-01-03,131
23,Kurt Vonnegut,1922-11-11,99
24,Harper Lee,1926-04-28,95
25,Cormac McCarthy,1933-07-20,88
26,J.D. Salinger,1919-01-01,102
27,Ray Bradbury,1920-08-22,101
28,Thomas Hardy,1840-06-02,181
29,Henry James,1843-04-15,178
30,Jack London,1876-01-12,145
31,Aldous Huxley,1894-07-26,127
32,Vladimir Nabokov,1899-04-22,122
33,Albert Camus,1913-11-07,108
34,Margaret Atwood,1939-11-18,83
35,Zadie Smith,1975-10-25,46
36,James Joyce,1882-02-02,139
37,Mark Haddon,1962-09-26,59
38,Neil Gaiman,1960-11-10,61
39,George R.R. Martin,1948-09-20,73
40,Philip K. Dick,1928-12-16,92
41,Isaac Asimov,1920-01-02,101
42,Arthur C. Clarke,1917-12-16,104
43,H.G. Wells,1866-09-21,155
44,Raymond Chandler,1888-07-23,133
45,John Grisham,1955-02-08,66
46,Daphne du Maurier,1907-05-13,114
47,David Foster Wallace,1962-02-21,59
48,Jonathan Franzen,1959-08-17,62
49,Stephen King,1947-09-21,74
50,Leo Perutz,1882-11-02,139
51,George Eliot,1819-11-22,202
52,Virginia Andrews,1923-06-06,98
53,Robert Louis Stevenson,1850-11-13,171
54,Henry Miller,1891-12-26,129
55,Chinua Achebe,1930-11-16,91
56,Nadine Gordimer,1923-11-20,98
57,Salman Rushdie,1947-06-19,74
58,Orson Welles,1915-05-06,106
59,Patricia Highsmith,1921-01-19,100
60,John Updike,1932-03-18,89
61,Joseph Conrad,1857-12-03,163
63,Joyce Carol Oates,1938-06-16,83
64,Harold Pinter,1930-10-10,91
65,Amy Tan,1952-02-19,69
66,Joris-Karl Huysmans,1848-02-05,173
67,Paul Auster,1947-02-03,74
68,Italo Calvino,1923-10-15,98
69,Jean-Paul Sartre,1905-06-21,116
70,Simone de Beauvoir,1908-01-09,113
71,Ralph Waldo Emerson,1803-05-25,218
72,William Blake,1757-11-28,263
73,Boris Pasternak,1890-02-10,131
74,Robert Frost,1874-03-26,147
75,Markus Zusak,1975-06-23,46
76,Oscar Hijuelos,1951-08-24,70
77,Joyce Maynard,1953-11-05,67
78,Michael Chabon,1963-05-24,58
79,Susan Sontag,1933-01-16,88
80,Edith Wharton,1862-01-24,159
81,Jack Kerouac,1922-03-12,99
82,Allen Ginsberg,1926-06-03,95
83,Ken Kesey,1935-09-17,86
84,Bukowski Charles,1920-08-16,101
85,Leonard Cohen,1934-09-21,87
86,Robert Penn Warren,1905-04-24,116
87,Philip Roth,1933-03-19,88
88,Anne Tyler,1941-10-25,80
89,Barbara Kingsolver,1955-04-08,66
90,Richard Wright,1908-09-04,113
91,Walter Mosley,1952-01-12,69
92,Toni Morrison,1931-02-18,90
93,Isabel Allende,1942-08-02,79
94,Angela Carter,1940-05-07,81
95,Rick Riordan,1964-06-05,57
96,N.K. Jemisin,1972-09-19,49
97,Katherine Mansfield,1888-10-14,133
98,William Somerset Maugham,1874-01-25,147
99,Paul Bowles,1910-12-30,110
100,Bob Dylan,1941-05-24,80